"site","date","fragmentation_level","centroid","ID","w","l","h","c","SA_cm","SA_ratio","ratio_c:l","Acropora","Astreopora","Montipora","Leptoseris","Pavona","Danafungia","Herpolitha","Lithophyllon","Astrea","Cyphastrea","Leptastrea","Acanthastrea","Lobophyllia","Pocillopora","Porites","Psammocora","Millepora","Plesiastrea"
"hilton","4/10/24","AD","5001","A66",113,130,82,380,28752.64073,75.66484402,0,1,0,3,0,5,0,0,0,0,0,0,0,0,3,24,3,0,0
"hilton","4/10/24","AD","5001","A67",55,74,32,207,6482.521274,31.3165279,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"hilton","4/10/24","LM","5001","L33",33,52,28,125,3452.693449,27.62154759,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"hilton","4/10/24","LM","5001","L34",49,58,35,145,5444.046492,37.54514822,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"hilton","4/10/24","LM","5001","L35",65,68,36,222,7332.163718,33.0277645,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"hilton","4/10/24","LM","5001","L36",52,89,47,220,9588.897629,43.58589831,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"hilton","4/10/24","LM","5001","L37",27,42,29,105,2769.415656,26.3753872,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"hilton","4/10/24","LM","5001","L38",32,39,22,106,2301.439674,21.71169503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"hilton","4/10/24","LM","5001","L39",95,100,55,300,16223.17851,54.07726169,0,0,0,4,0,0,0,0,0,1,0,1,0,0,2,15,6,0,0
"hilton","4/10/24","LM","5001","L40",39,76,30,179,5289.074868,29.54790429,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,0,0
"hilton","4/10/24","LM","5001","L41",115,160,75,450,31438.63132,69.86362517,0,3,0,4,0,0,0,0,0,2,0,0,0,0,3,21,0,0,0
"hilton","4/10/24","LM","5001","L42",55,65,47,160,7884.349944,49.27718715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"hilton","4/10/24","LM","5001","L43",96,108,73,315,21205.39068,67.31870057,0,1,0,3,0,0,0,0,0,2,0,2,0,0,1,4,3,0,0
"hilton","4/10/24","LM","5001","L44",40,48,7,124,1812.258362,14.61498679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"hilton","4/10/24","LM","5001","L45",62,78,30,210,6956.930245,33.12823926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"hilton","4/10/24","LM","5001","L46",40,92,19,250,4715.161924,18.8606477,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0
"hilton","4/10/24","LM","5001","L47",130,140,70,375,29332.6277,78.22034052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0
"hilton","4/10/24","LM","5001","L48",33,36,5,90,1095.499543,12.17221715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"hilton","4/10/24","LM","5001","L49",42,60,30,140,4566.097124,32.61497945,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0
"hilton","4/10/24","LM","5001","L50",35,55,23,135,3209.682758,23.77542784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"hilton","4/10/24","LM","5001","L51",48,95,24,215,6126.810522,28.49679313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"hilton","4/10/24","LM","5001","L52",45,62,30,180,4854.920755,26.97178197,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"hilton","4/10/24","LM","5001","L53",145,205,90,500,48859.20752,97.71841505,0,1,0,16,0,4,0,0,0,1,0,0,0,0,4,15,2,0,0
